IDfg,Name,Team,G,W,L,QS,CG,ShO,SV,HLD,BS,IP,H_pitch,ER,HR_pitch,BB_pitch,HBP_pitch,SO_pitch,AB,H_hit,1B,2B,3B,HR_hit,R,RBI,BB_hit,SO_hit,HBP_hit,SF,SH,SB,CS
29576,Ben Rice,NYY,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,26,13,6,0,7,20,23,20,48,1,5,0,0,1
24598,Addison Barger,TOR,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,41,23,11,0,7,20,28,14,60,1,1,0,2,0
27789,Shay Whitcomb,HOU,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,9,6,3,0,0,1,5,5,8,0,0,0,0,0
31595,Brooks Lee,MIN,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,38,28,6,1,3,9,27,11,27,0,2,0,3,0
14130,Daniel Vogelbach,TOR,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,13,7,5,0,1,5,8,9,17,0,0,0,0,0
19455,Andruw Monasterio,MIL,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,26,20,5,0,1,14,16,16,40,1,0,0,6,2
23986,Curtis Mead,TBR,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,29,25,3,0,1,10,7,6,30,2,1,0,2,0
17326,Cole Tucker,LAA,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9,4,4,1,0,3,3,6,17,0,1,0,3,1
19292,Armando Alvarez,OAK,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,9,8,1,0,0,7,2,2,8,0,0,0,1,0
27604,Alika Williams,PIT,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,18,12,4,2,0,13,5,3,22,1,0,5,1,0
29788,Brett Harris,OAK,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,15,9,3,0,3,15,12,17,25,2,1,0,0,3
15730,Tyler Wade,SDP,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,30,27,3,0,0,28,8,11,29,2,0,4,8,1
24770,James Outman,LAD,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,20,12,4,0,4,12,11,16,55,4,0,0,2,1
